Group,Number,Requirement,Correct,Incorrect
"Группа 1. Положения, выносимые на защиту (ядро диссертации)",1.1,"Каждое положение оформляется как аналог однозвенной формулы изобретения (ограничительная часть + «отличающийся тем, что» + цель + отличительная часть).","«Метод сжатия изображений, содержащий вейвлет-преобразование, отличающийся тем, что с целью уменьшения потерь при высоком сжатии, дополнительно вводится постфильтрация на основе нейронной сети».","«Метод сжатия изображений, отличающийся использованием постфильтрации» (нет цели, нет ограничительной части)."
"Группа 1. Положения, выносимые на защиту (ядро диссертации)",1.2,"Обязательно указывать цель изменений после слов «с целью …».","«…отличающийся тем, что с целью повышения быстродействия…»","«…отличающийся тем, что используется новый алгоритм» (цель отсутствует)."
"Группа 1. Положения, выносимые на защиту (ядро диссертации)",1.3,"Если решение не пионерское, должна быть ограничительная часть (совпадение с прототипом).","«Метод …, содержащий блоки A, B, C (как в прототипе), отличающийся тем, что …»","Сразу «отличающийся», без перечисления совпадающих признаков."
"Группа 1. Положения, выносимые на защиту (ядро диссертации)",1.4,"Положение должно начинаться с большой буквы, заканчиваться точкой, без точки с запятой.","«1. Метод управления …» (точка в конце).","«1. метод управления … ;» (маленькая буква, точка с запятой)."
"Группа 1. Положения, выносимые на защиту (ядро диссертации)",1.5,"Внутри положения нельзя использовать аббревиатуры, математические обозначения, формулы.","«Метод анализа графов де Брейна»","«Метод анализа графов dB» или «Метод анализа графов G(V,E)»."
"Группа 1. Положения, выносимые на защиту (ядро диссертации)",1.6,"Для каждого положения должна быть своя глава, а в презентации – отдельный раздел с дробной нумерацией слайдов.","Слайд: «Первое положение, выносимое на защиту 1/15», «1/15» → «2/15» и т.д.","Все положения перемешаны в одной главе или слайды без указания принадлежности."
"Группа 2. Научная новизна vs инженерия",2.1,"В диссертации и докладе главное – чем сделанное отличается от лучшего аналога (прототипа), а не просто «что сделано».","«В отличие от прототипа [ссылка], предложенный метод сокращает время обработки на 30% за счёт …»","«Я разработал систему, которая делает то-то, она работает быстро»."
"Группа 2. Научная новизна vs инженерия",2.2,"Не называть диссертацию «инженерной работой» – она должна содержать новые научные результаты, а не только полезность.","Положения явно описывают научную новизну.","Только акты внедрения, описания кода, но нет сравнения с прототипом по научной новизне."
"Группа 2. Научная новизна vs инженерия",2.3,"Для каждого положения нужно указать аналоги, выбрать прототип, перечислить его недостатки.","«Аналог 1 [ссылка] – недостаток А. Аналог 2 [ссылка] – недостаток Б. Прототип [ссылка] – недостаток В, который устраняется нашим методом».","«Существует метод X, а мы сделали лучше» (без разбора аналогов и выбора прототипа)."
"Группа 3. Язык и стиль",3.1,"Текст – безличный: нельзя «я», «мы», «наши».","«Автором предложен метод …», «В работе показано …»","«Мы разработали алгоритм», «Наши эксперименты показали»."
"Группа 3. Язык и стиль",3.2,"Числительные от 0 до 9 пишутся словами (исключения: номера глав, таблиц, рисунков, проценты).","«пять экспериментов», «два подхода», «3 %»","«5 экспериментов», «2 подхода»."
"Группа 3. Язык и стиль",3.3,"После точки в предложении – большая буква (даже в нумерованных списках).","«1. Разработан метод. 2. Проведены эксперименты.»","«1. разработан метод. 2. проведены эксперименты.»"
"Группа 3. Язык и стиль",3.4,"В конце каждого пункта нумерованного списка – точка, а не точка с запятой.","«1. Метод … 2. Алгоритм …»","«1. Метод …; 2. Алгоритм …»"
"Группа 3. Язык и стиль",3.5,"Не использовать слова‑«мусор»: «нужно» → «необходимо», «значит» → «следовательно», «заключается» → «состоит».","«Необходимо выполнить анализ», «Следовательно, метод эффективен».","«Нужно сделать анализ», «Значит, метод эффективен»."
"Группа 3. Язык и стиль",3.6,"Не применять «очевидно», «легко видеть», «несомненно», «хорошо известно» – это может унизить читателя.","(просто констатировать факт без оценки)","«Очевидно, что …», «Несомненно, это верно»."
"Группа 3. Язык и стиль",3.7,"Избегать восторженных оценок: «уникальный», «высокая эффективность» без доказательств.","«Предложенный метод повышает точность на 12% по сравнению с прототипом».","«Уникальный высокоэффективный метод»."
"Группа 4. Аббревиатуры и термины",4.1,"При первом упоминании – сначала полный термин, потом аббревиатура в скобках (на русском).","«база данных (БД)», «искусственный интеллект (ИИ)»","«БД», затем где-то в конце «база данных»."
"Группа 4. Аббревиатуры и термины",4.2,"Не использовать аббревиатуры в названии работы, оглавлении, названиях глав и разделов.","«Методы анализа графов де Брейна»","«Методы анализа графов dB» (dB – аббревиатура)."
"Группа 4. Аббревиатуры и термины",4.3,"Если аббревиатура иностранная – дать перевод и расшифровку на русском.","«JWT (JSON Web Token – веб-токен в формате JSON)»","Просто «JWT» без пояснения."
"Группа 4. Аббревиатуры и термины",4.4,"Каждый специфический термин, который может быть непонятен неспециалисту, должен быть объяснён (сноска, ссылка или определение).","«мьютекс – примитив синхронизации потоков»","«мьютекс» без пояснения."
"Группа 5. Оформление текста",5.1,"Шрифт Times New Roman, 11 кегль, одинарный интервал.","–","–"
"Группа 5. Оформление текста",5.2,"Выравнивание по левому и правому краю.","Текст ровный с двух сторон.","Только по левому краю, правый «рваный»."
"Группа 5. Оформление текста",5.3,"Главы начинаются с новой страницы, разделы – не обязательно.","–","–"
"Группа 5. Оформление текста",5.4,"После номера главы (раздела, таблицы, рисунка) – точка, затем название с большой буквы, в конце названия точка не ставится.","«Глава 1. Методы анализа»","«Глава 1 Методы анализа.» или «1 Глава»."
"Группа 5. Оформление текста",5.5,"Тире (–) – средней длины, отбивается пробелами. Дефис (-) – без пробелов, соединяет слова.","«Метод – это правило», «высокоскоростной»","«Метод - это правило» (дефис вместо тире), «высокоскоростной – алгоритм» (тире вместо дефиса)."
"Группа 5. Оформление текста",5.6,"Кавычки – одинаковые по всему тексту, желательно «ёлочки».","«“пример”» (или „лапки“, но единообразно)","В одном месте «ёлочки», в другом «лапки»."
"Группа 5. Оформление текста",5.7,"Пробелы: после инициалов перед фамилией, между числом и %, перед и после тире.","«А.А. Шалыто», «5 %», «метод – алгоритм»","«А.А.Шалыто», «5%», «метод-алгоритм»."
"Группа 6. Названия",6.1,"Название должно начинаться с существительного (результат), а не с глагола (процесс).","«Методы сжатия изображений»","«Разработка методов сжатия изображений» или «Исследование и разработка …»."
"Группа 6. Названия",6.2,"Не использовать в названии «повышение эффективности», «повышение качества» – нужно конкретное улучшение.","«Метод ускорения обработки сигналов»","«Метод повышения эффективности обработки сигналов»."
"Группа 6. Названия",6.3,"Число слов в названии желательно не более 13.","«Методы классификации текстов» (3 слова)","«Разработка и исследование методов автоматической классификации больших текстовых массивов на основе глубоких нейронных сетей» (19 слов)."
"Группа 6. Названия",6.4,"Название диссертации и цель должны быть «созвучны» (цель – внешний результат, а не процесс).","Название: «Методы прогнозирования временных рядов». Цель: «Повышение точности прогнозирования за счёт …»","Название: «Методы …». Цель: «Разработать методы …» (процесс)."
"Группа 7. Таблицы, рисунки, формулы",7.1,"Сначала ссылка в тексте, потом рисунок/таблица.","«Как показано на рис. 3.1, …» и сразу рис. 3.1.","Рисунок стоит раньше ссылки или ссылка отсутствует."
"Группа 7. Таблицы, рисунки, формулы",7.2,"У таблицы – название сверху, у рисунка – подрисуночная подпись снизу. Точка в конце не ставится.","Таблица 3.1 – Параметры моделей (текст).","«Рисунок 5. График зависимости.» (точка в конце)."
"Группа 7. Таблицы, рисунки, формулы",7.3,"Оси графиков подписаны, единицы измерения указаны.","Ось X: «Время, с», ось Y: «Точность, %».","Оси без подписей или только «время», «точность»."
"Группа 7. Таблицы, рисунки, формулы",7.4,"Формулы нумеруются, знак препинания ставится до номера формулы, номер в круглых скобках.","«A = B + C. (3.1)»","«A = B + C (3.1).» (точка после номера)."
"Группа 7. Таблицы, рисунки, формулы",7.5,"Каждую формулу расшифровывают после слова «где» (с маленькой буквы) с новой строки.","«… (2.1) где x – переменная, y – константа.»","Просто формула без расшифровки переменных."
"Группа 8. Выводы и заключение",8.1,"Выводы по главам – нумерованным списком, каждый вывод – один результат.","Выводы по главе 2 1. Предложен метод … 2. Экспериментально подтверждено …","Сплошной текст «В этой главе было сделано то-то и то-то …»."
"Группа 8. Выводы и заключение",8.2,"В выводах по главе тоже нужно указывать отличие от прототипа.","«Разработан метод …, отличающийся тем, что с целью … проведено усовершенствование».","«Разработан метод, он хорош»."
"Группа 8. Выводы и заключение",8.3,"Раздел «Заключение» – итоги по всей работе (не нумеруется).","–","–"
"Группа 9. Список литературы",9.1,"Единообразие оформления всех источников одного типа.","Все статьи: фамилия, инициалы, название, журнал, год, том, страницы.","В одной ссылке инициалы перед фамилией, в другой – после; где-то есть DOI, где-то нет."
"Группа 9. Список литературы",9.2,"Не использовать мусор: запятые после фамилии, & перед последним автором, тире, редакторов, ISBN.","«Шалыто А.А. Автоматное программирование. СПб.: Питер, 2010, 176 с.»","«Шалыто, А. А., & ed. by A. Biere. – СПб.: Питер, 2010. – 176 с.»"
"Группа 9. Список литературы",9.3,"Диапазон страниц на английском: «pp. 654-660», не «p. 654» (это одна страница, чего не бывает).","«pp. 12-25»","«p. 654» или «pp. 521-522» (без пробела, правильно «pp. 521, 522»)."
"Группа 9. Список литературы",9.4,"Ссылки на работы в тексте обязательны на все источники из списка.","–","–"
"Группа 10. Презентация",10.1,"Содержание слайдов и устный доклад должны совпадать по информации (визуальный и аудиоканал).","На слайде написано «Метод X» – докладчик рассказывает про метод X.","На слайде одно, докладчик говорит другое."
"Группа 10. Презентация",10.2,"Не читать по бумажке, а рассказывать по слайдам.","–","–"
"Группа 10. Презентация",10.3,"Число слайдов должно обеспечивать понятность, даже если больше выделенного времени (лишние пригодятся на вопросах).","50-60 слайдов на 20 минут – нормально, если они понятны.","10 слайдов, но в них не уместилась суть."
"Группа 10. Презентация",10.4,"Сноски на источники – прямо на слайдах, а не ссылками на список литературы в конце.","На слайде: «Метод [Иванов, 2020, с. 15]» (мелким шрифтом).","В конце презентации список литературы, на слайдах только «[1]»."
"Группа 10. Презентация",10.5,"Номера слайдов крупные, читаемые, видны при дистанционной защите.","–","Номера маленькие или обрезаются."
"Группа 10. Презентация",10.6,"Не использовать жаргон и англицизмы без пояснения.","«Прототип (базовый алгоритм сравнения)»","«Бейзлайн», «буст», «мапить», «слабый буст»."
"Группа 10. Презентация",10.7,"В докладе: объявлять начало и конец каждого положения, выносимого на защиту.","«Перехожу к изложению первого научного результата», «Изложение первого научного результата закончил».","Рассказ без маркеров – поток сознания."
"Группа 11. Специальные случаи",11.1,"Буква ё всегда пишется там, где произносится.","«за счёт», «решётка»","«за счет», «решетка»."
"Группа 11. Специальные случаи",11.2,"Нельзя начинать предложение с «А …», «Но …», «Так как», «То есть», «Т.к.», «Т.е.».","«Поскольку …», «Следовательно …»","«Т.к. метод сложный, …»"
"Группа 11. Специальные случаи",11.3,"Не использовать «т.е.», «т.к.», «т.ч.» – допустимы только «т. д.» и «т. п.» с пробелами.","«и т. д.», «и т. п.»","«т.е.», «т.к.», «т.ч.»."
"Группа 11. Специальные случаи",11.4,"После двоеточия не писать «а именно» (двоеточие его заменяет).","«Было доказано: метод эффективен.»","«Было доказано: а именно метод эффективен.»"
"Группа 11. Специальные случаи",11.5,"Вместо «то есть» в пояснениях – тире или «таким образом».","«Алгоритм – это последовательность шагов», «Таким образом, результат достигнут».","«То есть алгоритм – это …» (особенно в начале предложения)."
"Группа 11. Специальные случаи",11.6,"Не использовать уменьшительно-ласкательные суффиксы: «лампочка» → «лампа», «программка» → «программа».","«лампа», «программа», «строка»","«лампочка», «программка», «строчка»."
"Дополнительные требования",12,"В названии работы и в тексте не должно быть аббревиатур без расшифровки, особенно в оглавлении.","«на основе фреймворка Django»","«на основе Django» (не сказано, что это фреймворк)."
"Дополнительные требования",13,"Фрагменты кода в работе должны сопровождаться подробным описанием на русском языке (что фрагмент делает).","Текст + пояснение каждого блока кода.","Голый код без комментариев."
"Дополнительные требования",14,"Для диссертаций по техническим наукам обязательна глава о внедрении (или использовании) с конкретными реквизитами (акты, адреса открытого ПО).","Глава «Внедрение», в ней описано, где, когда и как использованы результаты, приведены номера документов.","Только фраза «имеется акт внедрения» без описания."
"Дополнительные требования",15,"Анализ аналогов и прототипа следует проводить внутри главы, посвящённой положению, а не только в первой обзорной главе.","Глава 2 (положение 1): сначала аналоги, прототип, недостатки.","Все аналоги и прототипы свалены в первую главу, а в главах с положениями – только описание своего метода."
"Дополнительные требования",16,"На слайдах и в тексте цвета не должны быть единственным средством различия (для дальтоников).","Линии на графиках различаются типами (пунктир, штрихпунктир) и цветом.","Только цветом (красный/зелёный)."
"Дополнительные требования",17,"Нельзя писать «см. рис. 5» – достаточно просто «рис. 5».","«как показано на рис. 5»","«см. рис. 5»."
"Дополнительные требования",18,"Инициалы авторов в списке литературы – после фамилии (кроме случаев, где требуется иное, но единообразие обязательно).","«Шалыто А.А.»","«А.А. Шалыто» вперемешку с «Шалыто А.А.»."
"Дополнительные требования",19,"В конце предложения – точка, но не после названий глав, разделов, таблиц, подрисуночных подписей.","«Глава 1. Введение» (без точки), «Рис. 2.1 – Схема» (без точки)","«Глава 1. Введение.» (с точкой)."
"Дополнительные требования",20,"Не использовать слова «впервые», «новый метод» – если метод новый, это и так понятно, а «впервые» звучит претенциозно (исключение – действительно пионерские работы с доказательством).","«Предложен метод …»","«Впервые предложен новый метод …»."